Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Ezreal,"2,973,632",3.79:1,0.4906,0.1271,0,61.26,"14,358"
Miss Fortune,"2,965,667",3.47:1,0.5021,0.1268,0,65.32,"14,707"
Caitlyn,"2,956,512",3.52:1,0.5176,0.1264,0,64.52,"14,666"
Jhin,"2,907,554",4.28:1,0.5155,0.1243,0,64.61,"15,073"
Lux,"2,852,818",4.9:1,0.5256,0.122,0,50.79,"13,907"
Ashe,"2,828,154",3.59:1,0.4998,0.1209,0,53.94,"13,343"
Jinx,"2,820,274",3.46:1,0.5098,0.1206,0,71.34,"14,466"
Varus,"2,744,959",3.83:1,0.5063,0.1174,0,56.89,"14,897"
Veigar,"2,690,944",3.4:1,0.5206,0.1151,0,59.52,"14,017"
Morgana,"2,639,049",4.36:1,0.5151,0.1128,0,37.39,"13,435"
Kai'Sa,"2,602,874",3.9:1,0.4899,0.1113,0,60.1,"14,747"
Nidalee,"2,548,146",4.41:1,0.4904,0.1089,0,25.66,"14,204"
Ahri,"2,546,776",3.38:1,0.5038,0.1089,0,49.49,"13,638"
Malphite,"2,518,266",2.8:1,0.5072,0.1077,0,29.18,"13,503"
Lucian,"2,488,029",3.09:1,0.485,0.1064,0,74.49,"15,022"
Brand,"2,477,735",3.19:1,0.5201,0.1059,0,48.14,"14,001"
Pyke,"2,424,475",3.08:1,0.4514,0.1037,0,11.9,"14,193"
Blitzcrank,"2,340,278",3.05:1,0.4984,0.1001,0,16.52,"12,364"
Thresh,"2,338,207",3.85:1,0.5118,0.1,0,22.61,"12,461"
Zed,"2,275,030",2.92:1,0.4659,0.0973,0,49.19,"14,961"
Vayne,"2,236,471",2.56:1,0.4899,0.0956,0,58.73,"14,187"
Twitch,"2,182,302",3.14:1,0.4841,0.0933,0,57.03,"14,859"
Xayah,"2,162,849",3.21:1,0.4752,0.0925,0,78.67,"14,549"
Tristana,"2,134,005",2.78:1,0.4853,0.0912,0,68.93,"14,551"
Teemo,"2,115,821",2.89:1,0.5174,0.0905,0,42.34,"13,982"
Vel'Koz,"2,094,849",3.91:1,0.5169,0.0896,0,42.41,"13,788"
Sivir,"2,092,545",3.79:1,0.5237,0.0895,0,91.4,"14,502"
Senna,"2,087,096",4.42:1,0.5112,0.0892,0,46.45,"14,673"
Karma,"2,083,571",4.28:1,0.5049,0.0891,0,29.73,"13,111"
Graves,"2,073,294",3.17:1,0.5186,0.0886,0,72.5,"15,700"
Lee Sin,"2,021,347",3.15:1,0.4719,0.0864,0,33.29,"14,678"
Cho'Gath,"1,953,392",3.17:1,0.5086,0.0835,0,37.1,"13,622"
Kayle,"1,952,822",3.26:1,0.5184,0.0835,0,69.91,"14,222"
Twisted Fate,"1,948,987",3.2:1,0.5176,0.0833,0,49.29,"13,883"
Xerath,"1,874,995",4.65:1,0.5057,0.0802,0,42.14,"13,924"
LeBlanc,"1,864,897",3.07:1,0.4117,0.0797,0,28.08,"13,901"
Yasuo,"1,844,962",2.41:1,0.4984,0.0789,0,72.13,"14,302"
Fizz,"1,820,196",2.68:1,0.5077,0.0778,0,27.75,"14,321"
Nautilus,"1,805,690",3.18:1,0.5202,0.0772,0,20.29,"12,160"
Jayce,"1,795,288",3.8:1,0.5046,0.0768,0,46.96,"15,286"
Neeko,"1,791,368",3.31:1,0.5206,0.0766,0,42.95,"13,449"
Akali,"1,789,494",2.67:1,0.4423,0.0765,0,27.18,"14,000"
Pantheon,"1,780,167",2.91:1,0.5051,0.0761,0,27.88,"14,541"
Katarina,"1,773,620",2.59:1,0.4411,0.0758,0,38.26,"14,555"
Shaco,"1,733,045",3.41:1,0.4941,0.0741,0,27.98,"14,424"
Maokai,"1,698,790",3.2:1,0.5159,0.0726,0,28.35,"12,605"
Master Yi,"1,683,777",2.41:1,0.4959,0.072,0,34.8,"14,510"
Aatrox,"1,679,789",2.66:1,0.4977,0.0718,0,35.75,"13,565"
Kha'Zix,"1,667,923",2.88:1,0.4669,0.0713,0,31.85,"14,847"
Karthus,"1,658,233",2.84:1,0.5029,0.0709,0,60.55,"15,122"
Samira,"1,653,675",2.65:1,0.4935,0.0707,0,62.58,"15,467"
Yone,"1,651,491",2.55:1,0.4819,0.0706,0,61.44,"14,547"
Draven,"1,643,304",3.03:1,0.4924,0.0703,0,64.17,"15,914"
Sylas,"1,627,409",2.73:1,0.5109,0.0696,0,25.78,"13,772"
Mordekaiser,"1,626,644",2.83:1,0.4992,0.0695,0,37.1,"13,591"
Ekko,"1,624,260",2.86:1,0.4967,0.0694,0,36.27,"14,194"
Jarvan IV,"1,607,228",3.46:1,0.492,0.0687,0,32.53,"14,440"
Ziggs,"1,606,507",3.98:1,0.5197,0.0687,0,55.84,"13,713"
Janna,"1,569,905",5.51:1,0.5356,0.0671,0,21.77,"12,112"
Darius,"1,566,792",2.54:1,0.487,0.067,0,40.29,"13,696"
Soraka,"1,558,708",5.12:1,0.4949,0.0666,0,10.72,"11,635"
Kog'Maw,"1,521,893",3.3:1,0.5238,0.0651,0,63.44,"15,192"
Garen,"1,516,934",2.87:1,0.5046,0.0649,0,38.73,"13,776"
Swain,"1,514,432",3.61:1,0.5136,0.0648,0,41.51,"13,291"
Aurelion Sol,"1,507,374",3.33:1,0.485,0.0644,0,66.69,"14,653"
Fiddlesticks,"1,506,860",2.88:1,0.5121,0.0644,0,38.3,"13,329"
Vex,"1,495,514",3.33:1,0.5171,0.0639,0,47.45,"13,936"
Lulu,"1,470,803",4.65:1,0.4779,0.0629,0,19.75,"11,923"
Seraphine,"1,465,766",4.4:1,0.5162,0.0627,0,46.67,"13,137"
